Sample,SiteN,Spp,Element,Median
Sarg-02,7,Sflu III,Al,383.45
Sarg-02,7,Sflu III,As,33.72
Sarg-02,7,Sflu III,Ca,109659.01
Sarg-02,7,Sflu III,Cl,1830.56
Sarg-02,7,Sflu III,Cu,4.2
Sarg-02,7,Sflu III,Fe,2.1
Sarg-02,7,Sflu III,K,3619.9
Sarg-02,7,Sflu III,Mg,2061.6
Sarg-02,7,Sflu III,Mn,92.26
Sarg-02,7,Sflu III,Mo,0.8
Sarg-02,7,Sflu III,P,336
Sarg-02,7,Sflu III,Pb,1.4
Sarg-02,7,Sflu III,Rb,48.28
Sarg-02,7,Sflu III,S,14671.43
Sarg-02,7,Sflu III,Si,2215.87
Sarg-02,7,Sflu III,Sr,2324.54
Sarg-02,7,Sflu III,Th,11.08
Sarg-02,7,Sflu III,U,34.64
Sarg-02,7,Sflu III,V,12.58
Sarg-02,7,Sflu III,Zn,13.73
Sarg-03,8,Snat I,Al,99
Sarg-03,8,Snat I,As,35.93
Sarg-03,8,Snat I,Ca,98413.52
Sarg-03,8,Snat I,Cl,7733.06
Sarg-03,8,Snat I,Cu,4.2
Sarg-03,8,Snat I,Fe,2.1
Sarg-03,8,Snat I,K,6369.19
Sarg-03,8,Snat I,Mg,6332.78
Sarg-03,8,Snat I,Mn,72.41
Sarg-03,8,Snat I,Mo,4.12
Sarg-03,8,Snat I,P,393.8
Sarg-03,8,Snat I,Pb,1.4
Sarg-03,8,Snat I,Rb,29.85
Sarg-03,8,Snat I,S,16340.56
Sarg-03,8,Snat I,Si,2358.68
Sarg-03,8,Snat I,Sr,2209.43
Sarg-03,8,Snat I,Th,6.34
Sarg-03,8,Snat I,U,22.63
Sarg-03,8,Snat I,V,2.1
Sarg-03,8,Snat I,Zn,3.5
Sarg-05,7,Snat I,Al,177.11
Sarg-05,7,Snat I,As,41.06
Sarg-05,7,Snat I,Ca,123608.63
Sarg-05,7,Snat I,Cl,746.96
Sarg-05,7,Snat I,Cu,4.2
