Index,Sample,SiteN,Site,Sitecode,Spp,Date,Month,Year,Collector,Al,As,Ca,Cl,Cu,Fe,K,Mg,Mn,Mo,P,Pb,Rb,S,Si,Sr,Th,U,V,Zn
680,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,317.67,93.66,41913.07,9628.67,17.93,2.10,21249.49,9309.87,95.34,0.80,259.61,3.30,40.77,21170.27,2789.42,2425.24,7.94,38.96,2.10,3.50
681,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,99.00,95.36,44309.52,10602.91,9.50,2.10,21674.68,9413.41,112.71,0.80,261.59,4.62,41.51,21676.69,2800.17,2413.75,7.59,37.70,2.10,3.50
682,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,99.00,98.45,40577.78,7734.64,16.45,2.10,21646.94,2061.60,94.97,0.80,289.83,2.70,39.23,21418.41,3228.37,2378.71,8.35,38.96,2.10,3.50
683,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,195.43,93.25,51953.43,10058.14,12.73,2.10,19102.25,21068.63,109.37,0.80,262.12,2.33,39.17,19057.90,2602.44,2227.23,7.30,36.08,2.10,3.50
684,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,610.50,101.43,60453.37,11615.08,9.80,2.10,19328.78,14091.83,94.59,0.80,275.27,2.39,40.22,18937.03,2286.41,2208.33,7.42,37.56,2.10,3.50
685,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,243.50,37.72,58649.13,12596.56,4.20,2.10,19652.70,13426.22,75.67,0.80,237.89,1.40,49.41,16364.75,2696.55,2014.37,10.40,39.59,5.70,3.50
686,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,322.34,40.92,60326.65,10507.31,4.20,2.10,19383.22,12324.60,82.79,0.80,250.92,2.63,55.01,17809.15,3037.64,2117.65,11.20,36.48,6.38,3.50
687,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,307.45,43.18,71431.89,11321.89,4.20,2.10,19568.15,6717.18,81.39,0.80,262.94,3.90,55.64,18186.17,2877.34,2026.37,9.55,33.57,10.34,3.50
688,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,436.88,44.28,72312.29,10598.26,4.20,2.10,18939.93,18366.44,65.55,0.80,264.74,3.06,53.38,16784.84,2862.74,2167.52,10.13,32.28,7.18,3.50
689,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,230.87,41.00,62341.12,11284.96,4.20,2.10,20579.62,7362.87,71.45,0.80,255.99,4.05,55.67,17895.56,2937.44,2170.90,10.85,33.54,4.39,3.50
690,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,333.67,36.59,97632.00,5922.21,13.68,2.10,12066.52,17318.90,92.00,0.80,269.70,3.61,40.06,16027.60,3089.23,2100.33,7.87,27.56,4.59,13.71
691,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,99.00,36.91,98764.91,6283.72,19.00,2.10,11965.42,17381.76,87.23,0.80,274.05,3.15,42.69,15112.22,2637.92,2136.37,8.07,30.72,2.10,10.01
692,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,140.21,30.86,80647.28,5736.13,7.71,2.10,10273.52,2061.60,62.39,0.80,238.85,1.40,30.59,12738.02,2154.15,1651.60,5.90,33.22,2.10,5.72
693,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,530.93,37.32,86921.59,7108.54,9.45,2.10,13546.53,9847.22,87.71,0.80,274.59,3.10,44.49,17425.24,2483.19,2147.74,7.71,30.04,2.10,12.40
694,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,549.98,35.08,112777.43,5674.25,17.27,2.10,11097.82,12631.07,82.25,0.80,279.96,5.08,42.61,14696.92,2654.38,2089.84,7.31,26.84,2.10,9.98
695,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,99.00,41.75,60395.25,30838.20,4.20,2.10,15298.39,6255.95,53.08,0.80,277.15,5.07,59.16,17935.73,2434.86,2001.16,10.09,23.65,2.10,3.50
696,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,412.65,43.90,62653.25,34476.25,38.13,2.10,15813.13,7568.98,74.02,0.80,289.70,3.33,60.13,17629.42,2784.48,1901.75,9.74,31.06,2.10,3.50
697,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,99.00,38.89,56711.14,35070.34,4.20,2.10,15219.92,2061.60,66.91,0.80,266.35,1.40,62.41,15886.72,2127.90,1802.96,10.70,27.57,2.10,3.50
698,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,252.65,44.22,62034.66,36886.28,4.20,2.10,16187.14,2061.60,78.14,0.80,289.91,5.01,61.63,18669.27,2406.69,1896.51,10.26,19.56,2.10,3.50
699,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,99.00,16.95,33328.08,20072.25,4.20,2.10,8406.38,6158.96,50.50,0.80,179.96,1.40,23.72,9986.52,1542.51,722.16,5.37,19.89,2.10,13.38
700,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,948.63,157.11,75848.53,47963.65,4.20,2.10,35238.16,16875.15,69.44,0.80,301.42,2.78,78.07,17448.06,1476.66,1735.68,8.45,12.08,4.65,3.50
701,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,491.62,145.44,73696.69,49283.00,4.20,2.10,35466.91,14589.26,65.06,0.80,291.69,2.83,68.66,15459.38,1132.65,1616.94,6.31,14.89,2.10,3.50
702,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,290.12,120.37,71758.98,47747.03,4.20,2.10,35533.73,7706.32,53.46,0.80,302.75,2.69,75.61,16375.56,1393.18,1717.90,8.31,15.93,2.10,3.50
703,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,99.00,139.28,93859.84,43826.91,4.20,2.10,32186.80,13661.93,51.49,0.80,325.42,1.40,79.44,14870.21,1664.27,1677.84,11.62,15.60,2.10,3.50
704,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,99.00,152.61,78168.42,47708.24,4.20,2.10,35273.76,7012.65,69.88,0.80,320.30,3.00,76.93,16693.61,1534.62,1734.09,10.15,16.60,2.10,3.50
710,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,99.00,132.98,68194.41,30517.43,4.20,2.10,36194.71,13188.86,65.72,0.80,318.82,1.40,56.63,19300.80,1498.60,2018.78,10.02,16.13,2.10,3.50
711,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,99.00,143.09,66122.92,24055.65,4.20,2.10,34325.62,10941.29,72.86,0.80,323.15,1.40,57.96,20409.25,1546.83,2024.96,7.67,15.41,2.10,3.50
712,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,99.00,133.76,63432.68,25974.73,4.20,2.10,32857.78,2061.60,61.17,0.80,324.02,1.40,52.68,17830.22,1495.16,1831.95,7.20,23.79,2.10,3.50
713,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,99.00,157.88,59318.91,30750.94,4.20,2.10,36315.16,7473.72,61.36,0.80,333.24,1.40,62.14,25515.74,1523.63,2074.24,9.64,18.28,2.10,3.50
714,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,301.90,142.28,71632.88,33629.15,4.20,2.10,36913.42,20428.98,60.93,0.80,317.95,1.40,54.66,19867.01,1380.32,2001.66,6.73,15.43,2.10,3.50
715,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,99.00,32.70,63223.46,15851.20,4.20,2.10,12673.71,4266.26,72.01,6.67,333.41,1.40,32.99,25013.32,2281.07,2118.70,7.71,27.30,2.10,15.49
716,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,308.39,28.46,69043.92,15798.82,4.20,2.10,12308.86,15097.77,44.03,4.61,328.81,1.40,29.94,21727.28,2125.24,1725.38,5.07,21.82,2.10,6.31
717,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,99.00,34.04,63308.62,16828.77,4.20,2.10,13066.26,9397.64,57.94,6.00,334.98,1.40,35.75,23543.76,2037.22,2094.39,6.98,27.19,2.10,7.73
718,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,99.00,32.97,75429.82,19933.33,4.20,2.10,13765.64,11658.94,64.34,7.37,370.23,1.40,37.06,25724.83,2276.19,1960.02,6.57,20.31,2.10,20.47
719,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,99.00,31.97,65943.65,16621.01,4.20,2.10,12335.61,8247.56,62.37,3.57,315.61,1.40,33.20,23463.41,2139.73,2118.11,6.83,29.84,2.10,6.53
720,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,99.00,194.45,41709.17,49712.96,4.20,2.10,37512.26,2061.60,84.93,0.80,277.10,1.40,66.47,19819.17,1200.24,1787.58,8.63,17.45,2.10,3.50
721,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,346.77,163.50,45285.47,42181.91,4.20,2.10,33195.51,10900.49,71.38,0.80,298.60,1.40,65.04,19898.91,1516.91,1759.02,7.55,22.52,2.10,3.50
722,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,99.00,171.98,53088.18,45355.03,4.20,2.10,30546.75,12949.02,56.54,0.80,273.04,1.40,59.80,16924.40,1405.12,1592.73,6.94,24.61,2.10,3.50
723,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,99.00,196.36,49635.85,46105.33,4.20,2.10,35718.88,13956.20,86.75,0.80,297.24,1.40,65.79,19555.18,1353.16,1767.58,6.95,18.80,2.10,3.50
724,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,527.01,157.22,51431.63,42478.15,4.20,2.10,28618.47,13261.55,65.92,0.80,268.62,1.40,54.62,15538.47,1357.34,1463.33,5.83,25.95,2.10,3.50
725,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,218.92,46.37,111669.41,877.57,4.20,2.10,2450.70,3035.54,110.63,0.80,331.29,1.40,50.42,13474.92,2102.08,2564.14,11.77,34.31,5.64,13.82
726,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,205.89,46.22,106066.19,1005.27,4.20,2.10,2831.41,2286.15,113.46,0.80,332.53,1.40,48.79,14635.00,2218.85,2545.18,10.77,40.22,6.20,9.61
727,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,254.63,46.52,111812.03,891.86,4.20,2.10,2391.82,10592.27,103.53,0.80,340.96,1.40,50.32,14048.91,2201.44,2573.88,11.86,39.27,2.10,15.78
