Sample,SiteN,Month,Year,Element,Median
Sarg-02,7,Apr,2019,Al,383.45
Sarg-02,7,Apr,2019,As,33.72
Sarg-02,7,Apr,2019,Ca,109659.01
Sarg-02,7,Apr,2019,Cl,1830.56
Sarg-02,7,Apr,2019,Cu,4.2
Sarg-02,7,Apr,2019,Fe,2.1
Sarg-02,7,Apr,2019,K,3619.9
Sarg-02,7,Apr,2019,Mg,2061.6
Sarg-02,7,Apr,2019,Mn,92.26
Sarg-02,7,Apr,2019,Mo,0.8
Sarg-02,7,Apr,2019,P,336
Sarg-02,7,Apr,2019,Pb,1.4
Sarg-02,7,Apr,2019,Rb,48.28
Sarg-02,7,Apr,2019,S,14671.43
Sarg-02,7,Apr,2019,Si,2215.87
Sarg-02,7,Apr,2019,Sr,2324.54
Sarg-02,7,Apr,2019,Th,11.08
Sarg-02,7,Apr,2019,U,34.64
Sarg-02,7,Apr,2019,V,12.58
Sarg-02,7,Apr,2019,Zn,13.73
Sarg-03,8,May,2019,Al,99
Sarg-03,8,May,2019,As,35.93
Sarg-03,8,May,2019,Ca,98413.52
Sarg-03,8,May,2019,Cl,7733.06
Sarg-03,8,May,2019,Cu,4.2
Sarg-03,8,May,2019,Fe,2.1
Sarg-03,8,May,2019,K,6369.19
Sarg-03,8,May,2019,Mg,6332.78
Sarg-03,8,May,2019,Mn,72.41
Sarg-03,8,May,2019,Mo,4.12
Sarg-03,8,May,2019,P,393.8
Sarg-03,8,May,2019,Pb,1.4
Sarg-03,8,May,2019,Rb,29.85
Sarg-03,8,May,2019,S,16340.56
Sarg-03,8,May,2019,Si,2358.68
Sarg-03,8,May,2019,Sr,2209.43
Sarg-03,8,May,2019,Th,6.34
Sarg-03,8,May,2019,U,22.63
Sarg-03,8,May,2019,V,2.1
Sarg-03,8,May,2019,Zn,3.5
Sarg-05,7,Apr,2019,Al,177.11
Sarg-05,7,Apr,2019,As,41.06
Sarg-05,7,Apr,2019,Ca,123608.63
Sarg-05,7,Apr,2019,Cl,746.96
Sarg-05,7,Apr,2019,Cu,4.2
Sarg-05,7,Apr,2019,Fe,2.1
Sarg-05,7,Apr,2019,K,1989.73
Sarg-05,7,Apr,2019,Mg,7520.4
Sarg-05,7,Apr,2019,Mn,94.19
Sarg-05,7,Apr,2019,Mo,0.8
Sarg-05,7,Apr,2019,P,339.08
Sarg-05,7,Apr,2019,Pb,1.4
Sarg-05,7,Apr,2019,Rb,43.01
Sarg-05,7,Apr,2019,S,11122.2
Sarg-05,7,Apr,2019,Si,2213.28
Sarg-05,7,Apr,2019,Sr,2344.89
Sarg-05,7,Apr,2019,Th,11.63
Sarg-05,7,Apr,2019,U,37.42
Sarg-05,7,Apr,2019,V,4.49
Sarg-05,7,Apr,2019,Zn,11.38
Sarg-06,7,May,2019,Al,99
Sarg-06,7,May,2019,As,109.76
Sarg-06,7,May,2019,Ca,52167.67
Sarg-06,7,May,2019,Cl,23928.49
Sarg-06,7,May,2019,Cu,4.2
Sarg-06,7,May,2019,Fe,2.1
Sarg-06,7,May,2019,K,22698.61
Sarg-06,7,May,2019,Mg,9350.75
Sarg-06,7,May,2019,Mn,63.09
Sarg-06,7,May,2019,Mo,0.8
Sarg-06,7,May,2019,P,348.45
Sarg-06,7,May,2019,Pb,1.4
Sarg-06,7,May,2019,Rb,54.89
Sarg-06,7,May,2019,S,14156.97
Sarg-06,7,May,2019,Si,1402.62
Sarg-06,7,May,2019,Sr,1878.27
Sarg-06,7,May,2019,Th,8.91
Sarg-06,7,May,2019,U,24.9
Sarg-06,7,May,2019,V,4.94
Sarg-06,7,May,2019,Zn,3.5
Sarg-07,7,May,2019,Al,249.03
Sarg-07,7,May,2019,As,80.01
Sarg-07,7,May,2019,Ca,127611.85
Sarg-07,7,May,2019,Cl,19572.77
Sarg-07,7,May,2019,Cu,4.2
Sarg-07,7,May,2019,Fe,2.1
Sarg-07,7,May,2019,K,16644.96
Sarg-07,7,May,2019,Mg,6889.57
Sarg-07,7,May,2019,Mn,52.27
Sarg-07,7,May,2019,Mo,0.8
Sarg-07,7,May,2019,P,360.65
Sarg-07,7,May,2019,Pb,1.4
Sarg-07,7,May,2019,Rb,41.74
Sarg-07,7,May,2019,S,10470.07
Sarg-07,7,May,2019,Si,1691.96
Sarg-07,7,May,2019,Sr,1728.38
Sarg-07,7,May,2019,Th,5.96
Sarg-07,7,May,2019,U,13.41
Sarg-07,7,May,2019,V,2.1
Sarg-07,7,May,2019,Zn,3.5
Sarg-08,8,May,2019,Al,99
Sarg-08,8,May,2019,As,58.83
Sarg-08,8,May,2019,Ca,93416.23
Sarg-08,8,May,2019,Cl,15957.31
Sarg-08,8,May,2019,Cu,4.2
Sarg-08,8,May,2019,Fe,2.1
Sarg-08,8,May,2019,K,13230.44
Sarg-08,8,May,2019,Mg,7631.37
Sarg-08,8,May,2019,Mn,69.83
Sarg-08,8,May,2019,Mo,0.8
Sarg-08,8,May,2019,P,358.49
Sarg-08,8,May,2019,Pb,1.4
Sarg-08,8,May,2019,Rb,32.91
Sarg-08,8,May,2019,S,13466.14
Sarg-08,8,May,2019,Si,1929.42
Sarg-08,8,May,2019,Sr,1957.94
Sarg-08,8,May,2019,Th,5.55
Sarg-08,8,May,2019,U,21.44
Sarg-08,8,May,2019,V,2.1
Sarg-08,8,May,2019,Zn,3.5
Sarg-14,7,Apr,2019,Al,205.89
Sarg-14,7,Apr,2019,As,46.22
Sarg-14,7,Apr,2019,Ca,106896.23
Sarg-14,7,Apr,2019,Cl,877.57
Sarg-14,7,Apr,2019,Cu,4.2
Sarg-14,7,Apr,2019,Fe,2.1
Sarg-14,7,Apr,2019,K,2450.7
Sarg-14,7,Apr,2019,Mg,3035.54
Sarg-14,7,Apr,2019,Mn,109.44
Sarg-14,7,Apr,2019,Mo,0.8
Sarg-14,7,Apr,2019,P,332.53
Sarg-14,7,Apr,2019,Pb,1.4
Sarg-14,7,Apr,2019,Rb,48.79
Sarg-14,7,Apr,2019,S,14048.91
Sarg-14,7,Apr,2019,Si,2201.44
Sarg-14,7,Apr,2019,Sr,2564.14
Sarg-14,7,Apr,2019,Th,10.77
Sarg-14,7,Apr,2019,U,40.22
Sarg-14,7,Apr,2019,V,5.64
Sarg-14,7,Apr,2019,Zn,12.76
Sarg-15,8,May,2019,Al,200.72
Sarg-15,8,May,2019,As,35.12
Sarg-15,8,May,2019,Ca,136146.31
Sarg-15,8,May,2019,Cl,5304.94
Sarg-15,8,May,2019,Cu,4.2
Sarg-15,8,May,2019,Fe,2.1
Sarg-15,8,May,2019,K,4594.89
Sarg-15,8,May,2019,Mg,6766.76
Sarg-15,8,May,2019,Mn,68.37
Sarg-15,8,May,2019,Mo,3.03
Sarg-15,8,May,2019,P,368.22
Sarg-15,8,May,2019,Pb,1.4
Sarg-15,8,May,2019,Rb,32.44
Sarg-15,8,May,2019,S,11692.99
Sarg-15,8,May,2019,Si,2258.97
Sarg-15,8,May,2019,Sr,2325.26
Sarg-15,8,May,2019,Th,6
