Index,Sample,SiteN,Site,Sitecode,Spp,Date,Month,Year,Collector,Element,Value
680,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,317.67
681,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,99
682,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,99
683,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,195.43
684,Sarg-19,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,610.5
685,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,243.5
686,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,322.34
687,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,307.45
688,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,436.88
689,Sarg-21,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,230.87
690,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,Al,333.67
691,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,Al,99
692,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,Al,140.21
693,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,Al,530.93
694,Sarg-29,6,Chinchorro,Ch,Snat I,24/05/2019,May,2019,NCT,Al,549.98
695,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
696,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,412.65
697,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
698,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,252.65
699,Sarg-34,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
700,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,Al,948.63
701,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,Al,491.62
702,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,Al,290.12
703,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,Al,99
704,Sarg-60,3,Puerto Morelos,PM,Snat VIII,20/02/2019,Feb,2019,MG,Al,99
710,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,99
711,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,99
712,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,99
713,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,99
714,Sarg-65,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,301.9
715,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,Al,99
716,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,Al,308.39
717,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,Al,99
718,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,Al,99
719,Sarg-71,1,Contoy Is,CI,Sarg sp,16/03/2019,Mar,2019,MG,Al,99
720,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,Al,99
721,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,Al,346.77
722,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,Al,99
723,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,Al,99
724,Sarg-75,3,Puerto Morelos,PM,Snat I,27/04/2019,Mar,2019,MG,Al,527.01
725,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,Al,218.92
726,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,Al,205.89
727,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,Al,254.63
728,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,Al,99
729,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,Al,99
730,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,200.72
731,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,191.08
732,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,99
733,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,230.29
734,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,316.92
737,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,Al,219.65
738,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,Al,99
739,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,Al,99
740,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,Al,99
741,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,Al,733.09
742,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,Al,99
743,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,Al,283.89
744,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,Al,99
745,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,Al,99
746,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,Al,99
