Element,SiteN,N,Median,min,max
Al,1,4,199.495,99,488.66
Al,2,2,218.875,99,338.75
Al,3,27,99,99,371.6
Al,4,4,326.965,307.44,341.93
Al,5,7,391.62,307.45,500.43
Al,6,1,333.67,333.67,333.67
Al,7,12,184.96,99,383.45
Al,8,6,99,99,200.72
As,1,4,94.35,32.7,143.1
As,2,2,45.025,44.2,45.85
As,3,27,121.26,56.08,172.34
As,4,4,120.905,23.95,138.82
As,5,7,42.675,41,59.41
As,6,1,36.59,36.59,36.59
As,7,12,41.405,31.76,109.76
As,8,6,58.83,35.12,95.36
Ca,1,4,66033.285,54113.15,111677
Ca,2,2,66101.08,54549.98,77652.18
Ca,3,27,64102.86,23722.58,115259.47
Ca,4,4,57260.195,28179.28,69798.08
Ca,5,7,80592.38,62341.12,128201.025
Ca,6,1,97632,97632,97632
Ca,7,12,105997.76,52167.67,127611.85
Ca,8,6,89665.71,44309.52,136146.31
Cl,1,4,23718.645,16621.01,30517.43
Cl,2,2,2666.31,1932.91,3399.71
Cl,3,27,32085.96,13207.85,51038.88
Cl,4,4,43451.03,2278.49,53100.93
Cl,5,7,7979.21,6751.41,15527.4
Cl,6,1,5922.21,5922.21,5922.21
Cl,7,12,14865.525,746.96,34476.25
Cl,8,6,8895.6,4849.73,16585.71
Cu,1,4,4.2,4.2,4.2
Cu,2,2,436.41,332.81,540.01
Cu,3,27,4.2,4.2,4.2
Cu,4,4,4.2,4.2,113.33
Cu,5,7,4.2,4.2,4.2
Cu,6,1,13.68,13.68,13.68
Cu,7,12,4.2,4.2,4.2
Cu,8,6,4.2,4.2,12.73
Fe,1,4,2.1,2.1,2.1
Fe,2,2,2.1,2.1,2.1
Fe,3,27,2.1,2.1,2.1
Fe,4,4,2.1,2.1,2.1
Fe,5,7,2.1,2.1,11.8
Fe,6,1,2.1,2.1,2.1
Fe,7,12,2.1,2.1,10.31
Fe,8,6,2.1,2.1,2.1
K,1,4,21092.52,12020.51,36194.71
K,2,2,7725.555,6685.29,8765.82
K,3,27,28136.58,11652.07,36221.33
K,4,4,41961,4902.03,46002.07
K,5,7,17252.52,12263.1,21526.08
K,6,1,11965.42,11965.42,11965.42
K,7,12,9001.63,1989.73,22698.61
K,8,6,13400.345,4594.89,21249.49
Mg,1,4,10098.9,9072.89,10941.29
Mg,2,2,4466.94,2061.6,6872.28
Mg,3,27,6548.32,2061.6,13661.93
Mg,4,4,6399.195,5453.51,9459.26
Mg,5,7,6484.57,3143.41,12324.6
Mg,6,1,12631.07,12631.07,12631.07
Mg,7,12,6157.315,2061.6,9350.75
Mg,8,6,6549.77,3762.83,9413.41
Mn,1,4,61.865,52.78,69.83
Mn,2,2,109.075,106.44,111.71
Mn,3,27,70.06,44.63,138.63
Mn,4,4,54.595,39.86,134.97
Mn,5,7,81.81,72.96,96.05
Mn,6,1,87.23,87.23,87.23
Mn,7,12,63.245,52.27,109.44
Mn,8,6,74.235,68.37,95.34
Mo,1,4,0.8,0.8,6
Mo,2,2,0.8,0.8,0.8
Mo,3,27,0.8,0.8,0.8
Mo,4,4,0.8,0.8,0.8
